pos=8056c420 len=208 sym=VFiPFCACHE_FlushDataCacheSpecific
pos=8056c610 len=324 sym=VFiPFCACHE_FreeAllCaches
pos=8056c770 len=188 sym=VFiPFCLUSTER_UpdateLastAccessCluster
pos=8056c840 len=528 sym=VFiPFCLUSTER_AppendCluster
pos=8056ca50 len=688 sym=VFiPFCLUSTER_AdjustCluster
pos=8056cd00 len=424 sym=VFiPFCLUSTER_GetAppendSize
pos=8056ceb0 len=140 sym=VFiPFDIR_FinalizeAllDirs
pos=8056d2b0 len=288 sym=VFiPFENT_findEmptyTailSFN
pos=8056d3d0 len=112 sym=VFiPFENT_CalcCheckSum
pos=8056d440 len=72 sym=VFiPFENT_LoadShortNameFromBuf
pos=8056d490 len=172 sym=VFiPFENT_loadEntryNumericFieldsFromBuf
pos=8056d540 len=548 sym=VFiPFENT_LoadLFNEntryFieldsFromBuf
pos=8056d770 len=368 sym=VFiPFENT_storeLFNEntryFieldsToBuf
pos=8056d8e0 len=156 sym=VFiPFENT_GetParentEntryOfPath
pos=8056d980 len=400 sym=VFiPFENT_findEntry
pos=8056db10 len=108 sym=VFiPFENT_allocateEntry
pos=8056db80 len=168 sym=VFiPFENT_GetRootDir
pos=8056dc30 len=224 sym=VFiPFENT_MakeRootDir
pos=8056dd10 len=116 sym=VFiPFENT_CompareAttr
pos=8056dd90 len=304 sym=VFiPFENT_compareEntryName
pos=8056dec0 len=436 sym=VFiPFENT_UpdateSFNEntry
pos=8056e080 len=592 sym=VFiPFENT_UpdateEntry
pos=8056e2d0 len=216 sym=VFiPFENT_AdjustSFN
pos=8056e3b0 len=376 sym=VFiPFENT_RemoveEntry
pos=8056e530 len=132 sym=VFiPFENT_getcurrentDateTimeForEnt
pos=8056e5c0 len=568 sym=VFiPFENT_InitENT
pos=8056e800 len=768 sym=VFiPFENT_FillVoidEntryToSectors
pos=8056ec20 len=692 sym=VFiPFENT_ITER_GetEntry
pos=8056eee0 len=1508 sym=VFiPFENT_ITER_DoFindEntry
pos=8056f4d0 len=1036 sym=VFiPFENT_ITER_DoAllocateEntry
pos=8056ff00 len=260 sym=VFiPFENT_ITER_IteratorInitialize
pos=80570010 len=264 sym=VFiPFENT_ITER_IsAtLogicalEnd
pos=80570120 len=248 sym=VFiPFENT_ITER_Advance
pos=80570220 len=812 sym=VFiPFENT_ITER_Retreat
pos=80570550 len=244 sym=VFiPFENT_ITER_FindEntry
pos=80570650 len=260 sym=VFiPFENT_ITER_AllocateEntry
pos=80570760 len=168 sym=VFiPFENT_ITER_GetEntryOfPath
pos=80570c70 len=508 sym=VFiPFFAT_SearchForNumFreeClusters
pos=80570e70 len=436 sym=VFiPFFAT_FindClusterLink
pos=80571030 len=420 sym=VFiPFFAT_FindClusterLinkPage
pos=805711e0 len=452 sym=VFiPFFAT_ReadClusterPage
pos=805713b0 len=540 sym=VFiPFFAT_WriteCluster
pos=805715d0 len=544 sym=VFiPFFAT_WriteClusterPage
pos=805717f0 len=684 sym=VFiPFFAT_DoAllocateChain
pos=80571aa0 len=860 sym=VFiPFFAT_GetClusterInChain
pos=80571e00 len=304 sym=VFiPFFAT_GetClusterContinuousSectorInChain
pos=80571f30 len=272 sym=VFiPFFAT_GetClusterAllocatedInChain
pos=80572040 len=384 sym=VFiPFFAT_GetClusterSpecified
pos=805721c0 len=280 sym=VFiPFFAT_GetClusterAllocated
pos=805722e0 len=440 sym=VFiPFFAT_GetSector
pos=805724a0 len=60 sym=VFiPFFAT_UpdateFATEntry
pos=805724e0 len=196 sym=VFiPFFAT_UpdateAlternateFATEntry
pos=805725b0 len=176 sym=VFiPFFAT_GetSectorSpecified
pos=80572660 len=172 sym=VFiPFFAT_GetSectorAllocated
pos=80572710 len=404 sym=VFiPFFAT_GetContinuousSector
pos=805728b0 len=304 sym=VFiPFFAT_CountAllocatedClusters
pos=805729e0 len=556 sym=VFiPFFAT_CountFreeClusters
pos=80572c10 len=976 sym=VFiPFFAT_FreeChain
pos=80572fe0 len=400 sym=VFiPFFAT_GetBeforeChain
pos=80573170 len=304 sym=VFiPFFAT_GetBeforeSector
pos=80573530 len=224 sym=VFiPFFAT_MakeRootDir
pos=80573610 len=536 sym=VFiPFFAT_TraceClustersChain
pos=80573830 len=168 sym=VFiPFFAT_WriteValueToSpecifiedCluster
pos=805738e0 len=116 sym=VFiPFFAT_ReadValueToSpecifiedCluster
pos=80573980 len=92 sym=VFiPFFAT_ResetFFD
pos=805739e0 len=104 sym=VFiPFFAT_InitFFD
pos=80573a50 len=32 sym=VFiPFFAT_FinalizeFFD
pos=80573a70 len=20 sym=VFiPFFAT_SetLastAccess
pos=80573c90 len=724 sym=VFiPFFAT12_ReadFATEntryPage
pos=80573f70 len=412 sym=VFiPFFAT12_WriteFATEntry
pos=80574740 len=440 sym=VFiPFFAT16_ReadFATEntryPage
pos=80574900 len=144 sym=VFiPFFAT16_WriteFATEntry
pos=80574cd0 len=456 sym=VFiPFFAT32_ReadFATEntryPage
pos=80574ea0 len=280 sym=VFiPFFAT32_WriteFATEntry
